-0.694,3.29
-0.682,3.3
-0.67,3.31
-0.658,3.32
-0.645,3.33
-0.631,3.34
-0.617,3.35
-0.602,3.36
-0.586,3.37
-0.57,3.38
-0.554,3.39
-0.537,3.4
-0.519,3.41
-0.501,3.42
-0.483,3.43
-0.464,3.44
-0.444,3.45
-0.425,3.46
-0.404,3.47
-0.384,3.48
-0.363,3.49
-0.342,3.5
-0.32,3.51
-0.298,3.52
-0.276,3.53
-0.253,3.54
-0.231,3.55
-0.208,3.56
-0.184,3.57
-0.161,3.58
-0.138,3.59
-0.114,3.6
-0.09,3.61
-0.066,3.62
-0.042,3.63
-0.018,3.64
0.006,3.65
0.029,3.66
0.053,3.67
0.077,3.68
0.101,3.69
0.125,3.7
0.148,3.71
0.172,3.72
0.195,3.73
0.218,3.74
0.241,3.75
0.264,3.76
0.286,3.77
0.308,3.78
0.33,3.79
0.351,3.8
0.373,3.81
0.393,3.82
0.414,3.83
0.434,3.84
0.453,3.85
0.473,3.86
0.491,3.87
0.51,3.88
0.527,3.89
0.545,3.9
0.561,3.91
0.578,3.92
0.593,3.93
0.609,3.94
0.623,3.95
0.637,3.96
0.651,3.97
0.664,3.98
0.676,3.99
0.688,4.0
0.699,4.01
0.709,4.02
0.719,4.03
0.728,4.04
0.736,4.05
0.744,4.06
0.751,4.07
0.758,4.08
0.764,4.09
0.769,4.1
0.773,4.11
0.777,4.12
0.78,4.13
0.782,4.14
0.784,4.15
0.785,4.16
0.785,4.17
0.785,4.18
0.784,4.19
0.782,4.2
0.78,4.21
0.777,4.22
0.773,4.23
0.768,4.24
0.763,4.25
0.757,4.26
0.751,4.27
0.743,4.28
0.736,4.29
0.727,4.3
0.718,4.31
0.708,4.32
0.698,4.33
0.686,4.34
0.675,4.35
0.662,4.36
0.649,4.37
0.636,4.38
0.622,4.39
0.607,4.4
0.592,4.41
0.576,4.42
0.56,4.43
0.543,4.44
0.526,4.45
0.508,4.46
0.489,4.47
0.471,4.48
0.451,4.49
0.432,4.5
0.412,4.51
0.391,4.52
0.37,4.53
0.349,4.54
0.328,4.55
0.306,4.56
0.284,4.57
0.261,4.58
0.239,4.59
0.216,4.6
0.193,4.61
0.17,4.62
0.146,4.63
0.122,4.64
0.099,4.65
0.075,4.66
0.051,4.67
0.027,4.68
0.003,4.69
-0.021,4.7
-0.045,4.71
-0.069,4.72
-0.092,4.73
-0.116,4.74
-0.14,4.75
-0.163,4.76
-0.187,4.77
-0.21,4.78
-0.233,4.79
-0.255,4.8
-0.278,4.81
-0.3,4.82
-0.322,4.83
-0.344,4.84
-0.365,4.85
-0.386,4.86
-0.406,4.87
-0.427,4.88
-0.446,4.89
-0.466,4.9
-0.485,4.91
-0.503,4.92
-0.521,4.93
-0.538,4.94
-0.555,4.95
-0.572,4.96
-0.588,4.97
-0.603,4.98
-0.618,4.99
-0.632,5.0
-0.646,5.01
-0.659,5.02
-0.672,5.03
-0.683,5.04
-0.695,5.05
-0.705,5.06
-0.715,5.07
-0.725,5.08
-0.733,5.09
-0.741,5.1
-0.749,5.11
-0.756,5.12
-0.762,5.13
-0.767,5.14
-0.772,5.15
-0.776,5.16
-0.779,5.17
-0.782,5.18
-0.784,5.19
-0.785,5.2
-0.785,5.21
-0.785,5.22
-0.785,5.23
-0.783,5.24
-0.781,5.25
-0.778,5.26
-0.774,5.27
-0.77,5.28
-0.765,5.29
-0.759,5.3
-0.753,5.31
-0.746,5.32
-0.739,5.33
-0.73,5.34
-0.721,5.35
-0.712,5.36
-0.701,5.37
-0.691,5.38
-0.679,5.39
-0.667,5.4
-0.654,5.41
-0.641,5.42
-0.627,5.43
-0.613,5.44
-0.598,5.45
-0.582,5.46
-0.566,5.47
-0.549,5.48
-0.532,5.49
-0.514,5.5
-0.496,5.51
-0.478,5.52
-0.459,5.53
-0.439,5.54
-0.419,5.55
-0.399,5.56
-0.378,5.57
-0.357,5.58
-0.336,5.59
-0.314,5.6
-0.292,5.61
-0.27,5.62
-0.247,5.63
-0.224,5.64
-0.201,5.65
-0.178,5.66
-0.155,5.67
-0.131,5.68
-0.107,5.69
-0.084,5.7
-0.06,5.71
-0.036,5.72
-0.012,5.73
0.012,5.74
0.036,5.75
0.06,5.76
0.084,5.77
0.108,5.78
0.131,5.79
0.155,5.8
0.178,5.81
0.201,5.82
0.224,5.83
0.247,5.84
0.27,5.85
0.292,5.86
0.314,5.87
0.336,5.88
0.357,5.89
0.378,5.9
0.399,5.91
0.419,5.92
0.439,5.93
0.459,5.94
0.478,5.95
0.496,5.96
0.514,5.97
0.532,5.98
0.549,5.99
0.566,6.0
0.582,6.01
0.598,6.02
0.613,6.03
0.627,6.04
0.641,6.05
0.654,6.06
0.667,6.07
0.679,6.08
0.691,6.09
0.702,6.1
0.712,6.11
0.721,6.12
0.73,6.13
0.739,6.14
0.746,6.15
0.753,6.16
0.76,6.17
0.765,6.18
0.77,6.19
0.774,6.2
0.778,6.21
0.781,6.22
0.783,6.23
0.785,6.24
0.785,6.25
0.785,6.26
0.785,6.27
0.784,6.28
0.782,6.29
0.779,6.3
0.776,6.31
0.772,6.32
0.767,6.33
0.762,6.34
0.756,6.35
0.749,6.36
0.741,6.37
0.733,6.38
0.725,6.39
0.715,6.4
0.705,6.41
0.695,6.42
0.683,6.43
0.671,6.44
0.659,6.45
0.646,6.46
0.632,6.47
0.618,6.48
0.603,6.49
0.588,6.5
0.572,6.51
0.555,6.52
0.538,6.53
0.521,6.54
0.503,6.55
0.484,6.56
0.465,6.57
0.446,6.58
0.426,6.59
0.406,6.6
0.386,6.61
0.365,6.62
0.343,6.63
0.322,6.64
0.3,6.65
0.278,6.66
0.255,6.67
0.233,6.68
0.21,6.69
0.186,6.7
0.163,6.71
0.14,6.72
0.116,6.73
0.092,6.74
0.068,6.75
0.045,6.76
0.021,6.77
-0.003,6.78
-0.027,6.79
-0.051,6.8
-0.075,6.81
-0.099,6.82
-0.123,6.83
-0.146,6.84
-0.17,6.85
-0.193,6.86
-0.216,6.87
-0.239,6.88
-0.262,6.89
-0.284,6.9
-0.306,6.91
-0.328,6.92
-0.349,6.93
-0.371,6.94
-0.391,6.95
-0.412,6.96
-0.432,6.97
-0.452,6.98
-0.471,6.99
-0.49,7.0
-0.508,7.01
-0.526,7.02
-0.543,7.03
-0.56,7.04
-0.576,7.05
-0.592,7.06
-0.607,7.07
-0.622,7.08
-0.636,7.09
-0.65,7.1
-0.663,7.11
-0.675,7.12
-0.687,7.13
-0.698,7.14
-0.708,7.15
-0.718,7.16
-0.727,7.17
-0.736,7.18
-0.744,7.19
-0.751,7.2
-0.757,7.21
-0.763,7.22
-0.768,7.23
-0.773,7.24
-0.777,7.25
-0.78,7.26
-0.782,7.27
-0.784,7.28
-0.785,7.29
-0.785,7.3
-0.785,7.31
-0.784,7.32
-0.782,7.33
-0.78,7.34
-0.777,7.35
-0.773,7.36
-0.769,7.37
-0.764,7.38
-0.758,7.39
-0.751,7.4
-0.744,7.41
-0.736,7.42
-0.728,7.43
-0.719,7.44
-0.709,7.45
-0.699,7.46
-0.687,7.47
-0.676,7.48
-0.664,7.49
-0.651,7.5
-0.637,7.51
-0.623,7.52
-0.609,7.53
-0.593,7.54
-0.578,7.55
-0.561,7.56
-0.545,7.57
-0.527,7.58
-0.509,7.59
-0.491,7.6
-0.472,7.61
-0.453,7.62
-0.434,7.63
-0.414,7.64
-0.393,7.65
-0.372,7.66
-0.351,7.67
-0.33,7.68
-0.308,7.69
-0.286,7.7
-0.263,7.71
-0.241,7.72
-0.218,7.73
-0.195,7.74
-0.172,7.75
-0.148,7.76
-0.125,7.77
-0.101,7.78
-0.077,7.79
-0.053,7.8
-0.029,7.81
-0.005,7.82
0.019,7.83
0.043,7.84
0.066,7.85
0.09,7.86
0.114,7.87
0.138,7.88
0.161,7.89
0.185,7.9
0.208,7.91
0.231,7.92
0.253,7.93
0.276,7.94
0.298,7.95
0.32,7.96
0.342,7.97
0.363,7.98
0.384,7.99
0.405,8.0
0.425,8.01
0.445,8.02
0.464,8.03
0.483,8.04
0.501,8.05
0.519,8.06
0.537,8.07
0.554,8.08
0.57,8.09
0.586,8.1
0.602,8.11
0.617,8.12
0.631,8.13
0.645,8.14
0.658,8.15
0.67,8.16
0.682,8.17
0.694,8.18
0.704,8.19
0.714,8.2
0.724,8.21
0.733,8.22
0.741,8.23
0.748,8.24
0.755,8.25
0.761,8.26
0.767,8.27
0.771,8.28
0.775,8.29
0.779,8.3
0.781,8.31
0.783,8.32
0.785,8.33
0.785,8.34
0.785,8.35
0.785,8.36
0.783,8.37
0.781,8.38
0.778,8.39
0.775,8.4
0.77,8.41
0.766,8.42
0.76,8.43
0.754,8.44
0.747,8.45
0.739,8.46
0.731,8.47
0.722,8.48
0.713,8.49
0.702,8.5
0.692,8.51
0.68,8.52
0.668,8.53
0.655,8.54
0.642,8.55
0.628,8.56
0.614,8.57
0.599,8.58
0.583,8.59
0.567,8.6
0.551,8.61
0.534,8.62
0.516,8.63
0.498,8.64
0.479,8.65
0.46,8.66
0.441,8.67
0.421,8.68
0.401,8.69
0.38,8.7
0.359,8.71
0.338,8.72
0.316,8.73
0.294,8.74
0.272,8.75
0.249,8.76
0.226,8.77
0.203,8.78
0.18,8.79
0.157,8.8
0.133,8.81
0.11,8.82
0.086,8.83
0.062,8.84
0.038,8.85
0.014,8.86
-0.01,8.87
-0.034,8.88
-0.058,8.89
-0.082,8.9
-0.105,8.91
-0.129,8.92
-0.153,8.93
-0.176,8.94
-0.199,8.95
-0.222,8.96
-0.245,8.97
-0.268,8.98
-0.29,8.99
-0.312,9.0
-0.334,9.01
-0.355,9.02
-0.376,9.03
-0.397,9.04
-0.417,9.05
-0.437,9.06
-0.457,9.07
-0.476,9.08
-0.495,9.09
-0.513,9.1
-0.531,9.11
-0.548,9.12
-0.564,9.13
-0.581,9.14
-0.596,9.15
-0.611,9.16
-0.626,9.17
-0.64,9.18
-0.653,9.19
-0.666,9.2
